title,review_value,reviewer_name,date_of_review,review_text,aircraft,traveller_type,seat_type,route,date_flown,seat_comfort_rating,cabin_staff_service_rating,food_and_beverages_rating,inflight_entertainment_rating,ground_service_rating,value_for_money_rating,recommendation,source,destination,airlines
"""Friendly and attentive crew""",9.0,Alain Kupferman,2017-05-22,"✅ Verified Review |  This trip from Thailand to Japan and return was my first experience with ANA but a very pleasant one. Friendly and attentive crew, very good legroom, especially for economy (seat belts ok on international flights but very short for westerners bodies on domestic flights), good entertainment choice, decent breakfast and nice little snack served immediately after departure. Flight was perfectly on time, announcements were good, including the indication of the luggage belt number on arrival. I will certainly fly ANA again.",Boeing 787,Solo Leisure,Economy Class,Haneda to Bangkok,2017-05-01,4.0,4.0,4.0,4.0,4.0,4,yes,Haneda,Bangkok,ana all nippon airways
"""the staff were superb""",8.0,L Marston,2017-05-19,"✅ Verified Review |  Hong Kong to Mexico City via Narita. The easiest way to get to Mexico without transiting in the USA. All flights were on time. On the HKG to NRT sector, an old 767 looking tired, leg room is ok but not great, movies not up to International standard, transfer at Narita can be very long! NRT to MEX sector the 787's were clean, very new. Staff were fabulous. I had exit row both ways, Row 20. Great legroom, however the rows behind are very tight 31 inch space. Food again ok, better movies and better screen. I think the staff were superb throughout.",Boeing 767 / 787,Solo Leisure,Economy Class,Hong Kong to Mexico City via Narita,2017-05-01,3.0,5.0,4.0,4.0,4.0,4,yes,Hong Kong,Mexico City ,ana all nippon airways
"""attentive flight attendants""",9.0,S Tamthana,2017-05-17,"✅ Verified Review |  Washington to Tokyo Narita. One of the best attentive flight attendants! This is the first time flying on ANA and guess what they did exceed my expectation. I flew on the 777-300ER from Washington to Narita with almost full flight. However, flight attendents were able to handle all the passengers with good and polite manner. I knew that ANA is one of the 5 star airline and I think they deserve it. Actually my flight was delay for about an hour but the ground staff did a very good job and we managed to left before the new schedule. We arrived at Narita just five minutes behind the schedule. Two thumb up for the pilot. I will definitely use and recommend this airline to anyone.",Boeing 777-300ER,Solo Leisure,Economy Class,Washington to Tokyo Narita,2017-05-01,4.0,5.0,4.0,5.0,4.0,5,yes,Washington,Tokyo Narita,ana all nippon airways
"""crew best I think in the world""",8.0,K Demani,2017-05-14,"✅ Verified Review |  I was traveling from Mexico City to Tokyo Narita. Fight deperture 20 mins delay. Ground staff not helpful in Mexico City airport. It's a 14:30 hours flight but didn't have wifi, but have many movie and games. Cabin crew are best I think in the world. Excellent behaviour, polite. Al time they come and ask need anything. Really great in flight service. I did not order any food before my flight departure and they served me chicken and rice. Business class seat fully lying bed 180 degree. Flight arrive 15 mins before of scheduled arrive time.",Boeing 787-8,Solo Leisure,Business Class,Mexico City to Tokyo Narita,2017-04-01,5.0,5.0,5.0,4.0,2.0,4,yes,Mexico City,Tokyo Narita,ana all nippon airways
"""Staff were helpful""",7.0,Rico Bunnarto,2017-05-08,✅ Verified Review |  Jakarta to Tokyo Haneda. First time using ANA All Nippon Airways. Seat is good for 5 star airline. Staff were helpful even they're not fluent in English. Food is OK but should be improved on western menu. But for Japanese Food lover it's best!  Overall it's as fair as I expected. ,Boeing 787-9,Business,Business Class,Jakarta to Tokyo,2017-04-01,4.0,5.0,4.0,4.0,4.0,4,yes,Jakarta,Tokyo,ana all nippon airways
"""definitely a 5-star airline""",10.0,M Abiyoga,2017-03-30,"✅ Verified Review |  Tokyo Narita to Mexico City by ANA on 20-21 March 2017. Both JAL and ANA helped me to check through my baggage from Jakarta to Mexico City (and from Mexico City to Jakarta a week later) although they don't share baggage arrangement. It was an excellent service from both airlines because I had a long layover in Narita (for over 7 hours) and would like to go to Tokyo for several hours during the layover. I would point out the excellent service from crew of flight NH180 (Narita-Mexico) and NH179 (Mexico Juarez-Narita), especially during meal time. They gave me recommendation on which meal I should choose because I don't eat pork. They even realized that I was (probably) the only passenger who's neither Japanese nor Mexican. One of the crew of NH180 also bid me farewell on my mother tongue. The interior of the aircraft was great and excellent. The crews cleaned the lavatory on a regular basis so it was perfectly clean and comfortable. The inflight entertainment was also good though maybe they can add more western entertainment. I had no problem though because I do enjoy Japanese movie and music. The leg room of the economy class was narrow. All in all, ANA is definitely a 5-star airline and highly recommended for long haul flight. I hope I can fly with ANA again someday.",Boeing 787-8,Business,Economy Class,Tokyo to Mexico City,2017-03-01,4.0,5.0,4.0,5.0,5.0,5,yes,Tokyo,Mexico City,ana all nippon airways
"""everything to my satisfaction""",7.0,P Chan,2017-03-13,"✅ Verified Review |  Kuala Lumpur to Sapporo via Tokyo. This was my first family trip to Sapporo via Tokyo and my first time flying with ANA. No doubt that this airline is a 5 star airlines. From ticket price, check-in, departure (delayed for almost 1 hour on that day), meals, seats (although a bit cramp), everything is up to my satisfaction. Just one thing that I would like to highlight is the good and friendly service from cabin crew service went a little overboard. During meal serving session, cabin crew attending to the same passengers who already have their meals and drinks distributed (these passengers keep on requesting for more drinks) and left the rest of the passengers who have not got their meal and drinks waited.",Boeing 787,Family Leisure,Economy Class,Kuala Lumpur to Sapporo via Tokyo,2016-12-01,2.0,3.0,5.0,4.0,4.0,3,yes,Kuala Lumpur,Sapporo ,ana all nippon airways
"""faultlessly professional""",8.0,P Tang,2017-03-13,"✅ Verified Review |  Shanghai to Tokyo Haneda. The staff are faultlessly professional and polite and cheerful, the cabin was spotlessly clean. The vegetarian option was very tasty - a tofu salad or a chickpea patty with pasta. My only two concerns were: On most flights requesting a special meal means receiving the meal ahead of the rest of the passengers, but this time I waited while the rows around me were served while the attendant went to fetch my meal from the galley. This wasn't such a big deal, since it was only a slight delay, but it was different than my experience on other airlines. The in-flight entertainment was quite limited.  Overall, nice experience. I would fly with them again.",Boeing 787,Couple Leisure,Economy Class,PVG to HND,2017-03-01,4.0,5.0,5.0,3.0,5.0,5,yes,PVG,HND,ana all nippon airways
"""Cabin service one of the best""",9.0,P Tang,2017-02-28,"✅ Verified Review |  Kuala Lumpur to Tokyo Narita. This was our family first flight with ANA. The reason we chose ANA was due to it's connectivity and relatively cheap airfare, as we were flying multi-cities in Japan. The seat width was reasonable and legroom was good. Cabin service is one of the best. The window tinting feature of Boeing 787 is very unique and hightech. One setback was the fabric seat getting hot after flown for hours. It would be better if the aircraft were fitted with leather seats. Announcements were generally made in Japanese with only important short messages announced in English.",Boeing 787,Family Leisure,Economy Class,Kuala Lumpur to Tokyo,2016-12-01,3.0,5.0,5.0,4.0,5.0,5,yes,Kuala Lumpur,Tokyo,ana all nippon airways
"""surpassed my expectations""",10.0,Edward Johann Leong,2017-02-08,"✅ Verified Review |  Kuala Lumpur to Tokyo Haneda return In summary the service by the cabin crew on both sectors were impeccable and the details of the service on board was top notch. I flew 2 elderly passengers, 1 wheelchair passenger and a 5yr old child. We were all well taken care of from the boarding point right to the moment we disembarked after the immigration office by ANA ground staff. Food selection is better than most airlines. Chair did not recline well but was sufficient. Cabin crew was extremely polite and was always visible in the cabin making sure every passenger was attended to. Upon arrival the baggage delivery was prompt and quick. On our return trip on of the passengers from my group was seated separately. However, they went through all the trouble to assign us a seat together despite the full flight HND KUL. The service overall surpassed my expectations. I will always plan my trips on ANA in future where possible.",Boeing 787,Family Leisure,Economy Class,KUL to HND,2017-02-01,5.0,5.0,5.0,5.0,5.0,5,yes,KUL,HND,ana all nippon airways
"""crew really attentive and friendly""",9.0,Marcus Wong,2017-02-07,"✅ Verified Review |  Tokyo Haneda to Kuala Lumpur. My flight was scheduled to depart from Tokyo Haneda at 0005 hrs in the morning. Chose ANA because of the offered price.  The plane was very clean upon boarding. The window tinting feature on the Boeing 787 is very nice! Flight took off on time. Cabin crew were really attentive and friendly. Food was delicious. However, my IFE system got jammed after watching a movie. I reported the problem to the cabin crew and they quickly restarted the system for me. I was really happy with that. The recline of the seats wasn't very good. Couldn't get much sleep because it was uncomfortable. Landed in KLIA, on time as scheduled ( 630 hrs). Baggage reclaim was a breeze! They unloaded the baggages really fast. It was an honor flying with ANA and I will be sure to recommend this airline to others.",Boeing 787,Family Leisure,Economy Class,Tokyo to Kuala Lumpur,2016-12-01,4.0,5.0,4.0,4.0,5.0,4,yes,Tokyo,Kuala Lumpur,ana all nippon airways
"""staff care about their clients""",9.0,H Lamesson ,2017-01-31,"✅ Verified Review |  Tokyo Narita to Singapore. I have flown ANA several times on both economy and premium economy cabin and it is a seemless ride, wonderful service from both ground and inflight crews.  You really get the feeling that ANA staff care about their clients. Food is delicious, great quality of wines, IFE with plenty of choices. The 2x4x3 configuration is the best layout I ever saw on a Boeing 777. Only downside is how the Y seat reclines, instead of your back reclining, it is your hips that slide forwards hence reducing your leg room. Hard to describe but the economy seat isn't reclining the traditional way thus making it a biy uncomfortable, and I decided not to recline. The premium economy seats recline well. Besides that ANA is a well deserved 5-Star airline.",Boeing 777-300,Business,Economy Class,Tokyo to Singapore,2017-01-01,3.0,5.0,5.0,5.0,5.0,4,yes,Tokyo,Singapore,ana all nippon airways
"""journey is very comfortable""",9.0,Y Tan,2017-01-29,"✅ Verified Review |  Tokyo Narita to Hong Kong on economy class with ANA. The service is best. Boarding was efficient and flight attendants were very friendly. The ground service is best, and Food and beverages is good. This journey is very comfortable. Highly recommended. ",Boeing 767-300,Family Leisure,Economy Class,NRT to HKG,2017-01-01,4.0,5.0,4.0,4.0,4.0,4,yes,NRT,HKG,ana all nippon airways
"""staff service exceptional """,10.0,H Wenger,2017-01-27,"✅ Verified Review |  Tokyo Haneda to Frankfurt in business class. Check in and lounge at Haneda exceptional and so efficient. Onboard the Boeing 777 seats are nice and private, a little narrow but I'm large! Food was excellent and seemed more refined than many airlines. Staff service exceptional and the best I can remember in over 25 years of flying - well done. IFE good movie choices, but TV programs seemed rather small in choice. Will choose next time over Lufthansa.",Boeing 777-300,Business,Business Class,Tokyo to Frankfurt,2017-01-01,4.0,5.0,5.0,4.0,5.0,4,yes,Tokyo,Frankfurt,ana all nippon airways
"""Highly recommended""",10.0,J Sannurin,2017-01-19,"✅ Verified Review |  Tokyo Narita to Nagoya on business class. Highly efficient check in and a very generous luggage allowance. The domestic lounge is commendable, with a reasonable quantity of choice of freshly prepared light meals and drinks. Boarding was efficient and flight attendants were very friendly. The onboard beverage selection is exceptional and the light premium Gozen meals are also very good. Highly recommended.",Boeing 737,Solo Leisure,Business Class,NRT to NGO,2016-12-01,5.0,5.0,5.0,4.0,5.0,5,yes,NRT,NGO,ana all nippon airways
"""HND connection is a winner""",8.0,S Heston,2017-01-13,"✅ Verified Review |  Haneda to New York JFK in late December 2016 with a return on January 4 in Business class. First, from a convenience stand point this flight cannot be beat. It is great to have a Haneda option to JFK available that avoids the 1.5 to 2hr transit from central Tokyo out to Narita where most US flights originate and land. I like ANA's seat configuration and the window seats with the side table on the aisle cannot be beat for privacy. You'll want to check the seat configuration on your specific flight as every other row alternates and other rows have seats where the side table is against the window. This second design exposes you more, but is also fine. Service is generally great, unobtrusive and responsive. Compared to JAL, the HND connection is a winner. Where ANA falls flat I think is food and the IFE system, for non-Japanese speakers. The selection is OK, but nothing great compared to Cathay where has a very large library available on demand. One thing I have noticed on Asian carriers is that the temperature is too high for most westerners. I find overly heated spaces claustrophobic. Dress in layers if you are heat sensitive. I have learned to carry a light cotton polo shirt in my carry on bag that I can slip on if necessary once on board. My complaint is the food. It is sometimes poor, especially the main meal, and this includes both the Japanese and International options. On the upside though is that the a la carte options that may be ordered at any time after the first meal are much better, especially the curry, salad, cheeses, fruit, ramen and other simple dishes. I think with the main meal they try too hard and fail. Overall ANA is head and shoulders above any US carrier, and I will continue to fly them regularly.",Boeing 777-300,Business,Business Class,HND to JFK,2016-12-01,5.0,5.0,3.0,3.0,5.0,4,yes,HND,JFK,ana all nippon airways
"""crew were lovely, welcoming and gracious""",9.0,K Sherwood,2017-01-12,"✅ Verified Review | Flew ANA to Singapore from Tokyo as a connection from United originating in Newark. It was a world of difference transferring from United to ANA. Boarding was by row numbers and fairly organized and quick. The aircraft itself has an interesting 2x4x3 layout in Economy which I quite liked. Seat pitch was excellent at 34"" and I did also like that the seat slid forward instead of reclined back. The crew were lovely, welcoming and gracious. Meals and drinks were served efficiently and with a genuine friendliness. I chose the Japanese option for dinner and it was pretty good and substantial in quantity. The crew's command of English was fair I would say. IFE on a bright touchscreen that was responsive. The selection was decent for a 7 hour flight but probably too small for a longer transpacific. WIFI was spotty and dropped out from time to time. We departed about 30mins late and arrived 20mins behind schedule after midnight. My return flight with ANA was equally commendable. Comfortable, great meals, fantastic crew. I was almost sad to be connecting to United. Which actually wasn't as bad as I imagined but not as good as ANA in terms of amenities and comfort.",Boeing 777-300ER,Couple Leisure,Economy Class,NRT to SIN,2016-12-01,4.0,5.0,4.0,4.0,4.0,5,yes,NRT,SIN,ana all nippon airways
"""Cabin spotless and excellent condition""",9.0,Michael Hollifield,2017-01-11,"✅ Verified Review |  Round trip for a weekend getaway flying from Seoul to Tokyo. As always an extremely efficient boarding of 100% full plane in just 20 minutes at both Gimpo and Haneda airports. Cabin spotless and excellent condition. Crew professional and polite as always. I normally enjoy the food on ANA except for HND-GMP steamed seafood dish. I appreciate the effort of multiple seafood types on an airplane, but literally zero taste on this one. At HND, I didn't check my bag with duty free alcohol and was sent to check it in with just 25 minutes before take off. The staff politely hurried me back to the counter and again through security and the bag still made it. Impressive!",Boeing 788,Couple Leisure,Economy Class,GMP to HND,2016-12-01,5.0,5.0,4.0,4.0,5.0,5,yes,GMP,HND,ana all nippon airways
"""unexpected disappointment""",5.0,Michel Perrin,2016-12-30,"✅ Verified Review |  Unexpected disappointment. After having wrote numerous favorable reviews to ANA, I have an unpleasant surprise, that might be due to year-end excess of passengers. Service was the opposite of what it used to be on transpacific flight. Lounge at HND was overcrowded, wi-fi slow, no seats available, wines out of stock, etc. Business class passengers were boarded as cattle as we were very rudely urged to hurry up. No FA at the plane door! We entered aircraft and seated without any welcome or support. Food started was served 90 mins after taking off and as it was after midnight we were informed that no dinner would be available, just snacks. Drinks were rare. Later on no one helped me to put mattress. I hope this flight was just an accident.",Boeing 787-8 / 777-300ER,Couple Leisure,Business Class,ITM to LAX via HND,2016-12-01,3.0,3.0,3.0,3.0,1.0,3,no,ITM,LAX ,ana all nippon airways
""" service from FAs consistently excellent""",8.0,N Kano,2016-12-29,"✅ Verified Review |  Have been flying on ANA either in economy or business three times a year for the last ten years between Honolulu and Narita. Whether in business or economy, inflight service from their FAs is consistently excellent. Food can be hit or miss but generally of high standards but not quite up to par with what is offered on mainland US flights. My only complaint is that with the Honolulu flight, upon arrival at Tokyo Narita, we are often parked away from the terminal and have to disembark by stairs and then get herded on to buses to be taken to the terminal. This has increasingly become the norm with the Honolulu to Tokyo Narita flight. On my latest flight, I complained to the FA about this as I have arthritis and it is difficult and painful for me to descend stairs with a carry on. She apologized for this and explained that ANA does not have control over gate assignments, but she did offer to assist me with my carry on.  I declined as I felt that it is not a FAs job to assist passengers with carrying their luggage. As ANA is a flagship airline at Tokyo Narita, this should not be happening.",Boeing 767-300,Solo Leisure,Business Class,HNL to NRT,2016-12-01,4.0,5.0,4.0,3.0,5.0,5,yes,HNL,NRT,ana all nippon airways
"""certainly fly again""",8.0,Varun Govindaraj,2016-12-29,"✅ Verified Review | Tokyo Narita to Mumbai with ANA. Overall a very good flight. Good spacious seats, very helpful flight attendants and nice food. Only crib was the IFE, the selection was quite limited and I didn't find much to watch on a 9 hour flight. I'd certainly fly again given the chance.",Boeing 777,Solo Leisure,Business Class,NRT to BOM,2016-11-01,5.0,5.0,4.0,4.0,4.0,4,yes,NRT,BOM,ana all nippon airways
"""recommend this airline again""",10.0,Yihui Li,2016-12-26,"✅ Verified Review |  Kansai to Shanghai Pudong. As a frequent flyer of ANA, I am pleased to recommend this airline again. Everything is good on board : different kinds of beverage, in-flight wifi and entertainment and food. The only thing I want to complain about is that the seat comfort still need to be improved. Next time I will take ANA again.",Boeing 767-300,Solo Leisure,Economy Class,KIX to PVG,2016-09-01,4.0,5.0,5.0,5.0,5.0,5,yes,KIX,PVG,ana all nippon airways
"""top quality food and service""",8.0,Michel Perrin,2016-12-16,"✅ Verified Review |  Houston to Tokyo Narita. A rather old aircraft with worn out seats. Still a fantastic 1x2x1 business class seat configuration, with top quality food and service, unbeatable ANA. Wines were not very interesting. The flight was late, and connection became stressful.",Boeing 777-300ER,Solo Leisure,Business Class,IAH to NRT,2016-12-01,4.0,4.0,4.0,3.0,4.0,4,yes,IAH,NRT,ana all nippon airways
"""service onboard is very good""",8.0,Werner Hirschi,2016-12-13,"✅ Verified Review |  Tokyo Haneda to New York JFK. As Senator member of Lufthansa I was choosing ANA because of its Star Alliance membership. Overall the experience was rather good. ANA flies an up to date aircraft to New York with the configuration of business class that gives every passanger an isle access, a small table with storing facilities as well as a full flat bed with pillow and cover. The privacy is quite good above all if you choose a window seat with the table towards the aisle. The seat functionality is simple and the comfort pretty good even if the cushions are a bit hard. Food on board is good and the servings are just right so that you don't feel overly stuffed. Wine selections are good as well. On the downside the entertainment program which is extremely limited and not varied enough for non Asian costumers. The service onboard is very good in a japanese style. The flight attendants (almost always women) are very kind and attentive and tend to your every need. I would definitely chose ANA again as it is a much more comfortable option to fly from Japan to the US, although it is also more expensive than the american carriers.",Boeing 777-300ER,Business,Business Class,HND to JFK,2016-12-01,4.0,5.0,5.0,2.0,4.0,4,yes,HND,JFK,ana all nippon airways
"""the service was impeccable""",8.0,C Johnson,2016-12-11,"I was at seat 4G which is an aisle seat in the middle block of a 2-3-2 seat configuration. The seats belong to the older type which do not recline flat and does not provide much privacy between passengers. No amenity kit was provided but there were slippers provided at every seat and the cabin crew came round with face masks, eye masks, ear plugs, hand and face cream which passengers were able to choose and pick off from a basket. In the toilets there was face moisturizer, good quality toothbrush and mouthwash in sachets. The service was impeccable. Compared with a business flight I took with a middle eastern airline 5 month back, I thought the cabin crew on this flight were more attentive and their presence was felt throughout the flight. There was one main meal served (breakfast) about one hour into the fight. There was a Japanese option and an international option to choose from. There was also an extensive list of options from soups, Ippudo ramen to chicken cutlet with rice on the ""anytime"" food list which most passengers chose from for the meal before landing. The IFE has the latest western movies but the overall English selection for older movies and sitcoms, are very limited. On the other hand, there was a good selection of asian movies that cater to Chinese, Korean and Japanese speakers.",Boeing 777-200,Business,Business Class,BKK to NRT,2016-12-01,4.0,5.0,5.0,3.0,4.0,4,yes,BKK,NRT,ana all nippon airways
"""service levels exceptional""",10.0,Rajan Parrikar,2016-11-29,"✅ Verified Review | Mumbai to Tokyo Narita with ANA in a B787 configured in only two classes. Cabin interior was welcoming and immaculately maintained. The Business Class configuration is among the best, allowing for a degree of privacy not offered in most other airlines. Service levels were exceptional strengthening ANA's reputation as one of the top 5 airlines in the world. The flight attendants were attentive yet discreet. All I can say is, flying with ANA in Business is a pleasure.",Boeing 787,Solo Leisure,Business Class,BOM to NRT,2016-09-01,5.0,5.0,5.0,5.0,4.0,4,yes,BOM,NRT,ana all nippon airways
"""attendants service is great""",8.0,G Cruz,2016-10-12,"✅ Verified Review |  Flight NH105 departs from LAX / Tom Bradley around midnight which is pretty convenient because it will arrive very early to Haneda Airport near central Tokyo (note that Narita, the other Tokyo airport is in Chiba Prefecture). One of the best things to enjoy in ANA business class is food, and of course the great selection of wines. As this is a midnight flight only a very light meal after take off and breakfast before landing are served. So don't expect full courses or appetizers as in other daylight flights. Seats for this business class are 1x2x1 and I would say that seats in A and K sides (windows) are the best in terms of privacy for passengers. Every seat has a very good space for personal items and as in other airlines seats are flat when they are totally reclined. As per normal flight attendants service is great and ground staff in LAX as well as Haneda is very efficient. Flight entertainment could be better. Wifi connectivity is good, very affordable rates.",Boeing 777-300,Solo Leisure,Business Class,LAX to NRT ,2016-08-01,4.0,5.0,5.0,3.0,4.0,3,yes,LAX,NRT ,ana all nippon airways
"""nothing to complain about""",9.0,S García ,2016-10-09,"✅ Verified Review |  NH00O6 departs from Tokyo around 4.30pm and arrives at Tom Bradley in LAX at 11.30 aprox. The arrival time is great since immigration counters are not that busy at that particular time. Seats are comfortable, maybe not as great as business but still ok for this long flight. I wish the footrest would elevate more. Althought the pitch between seats is bigger than in plain economy they affect the space of the passenger behind when recline. The food had two nice choices and the selection of wines was very good. Service with ANA is great so nothing to complain about. Ground service in Tokyo as well in LAX was very good. Baggage was delivered without delay. Ask for baggage check through if traveling in another Star Alliance carrier even you don't have the other leg of your trip in the same ticket. Flight entertainment could be better.",Boeing 777-300,Solo Leisure,Premium Economy,NRT to LAX,2016-09-01,4.0,5.0,5.0,3.0,4.0,3,yes,NRT,LAX,ana all nippon airways
"""I am really impressed""",8.0,Mayer Sng,2016-09-23,"✅ Verified Review |  Singapore to Tokyo Narita. First time on ANA All Nippon Airways and I am really impressed. My partner was fast asleep and past breakfast meal. However, the cabin crew remembered him and served him a choice of breakfast when he wakes up. Meal is really good too.  Also, it is awesome that they give everyone a bottle of water after take off, and have regular walk through to serve water. Pre-landing snack was given, and also some sweets and postcards for you. Entertainment device is user friendly even though it is limited. Cabin crew is the friendliest among all airlines I have taken, and they greet us even when we enter or go out of the toilet. Seats were comfy and will not be affected by passenger in front of you due to shell seating. Electronic devices can be charged mid flight and it is very fast. Wifi service is also provided at a reasonable price. Points lost to the lack of amenity kit and entertainment.",Boeing 777-300,Solo Leisure,Economy Class,SIN to NRT,2016-09-01,5.0,5.0,5.0,3.0,5.0,5,yes,SIN,NRT,ana all nippon airways
"""this flight was out of pattern""",4.0,Michel Perrin,2016-09-04,"✅ Verified Review |  Kansai to Beijing. A disappointing experience. Problems started by class reservation. Surprisingly, despite the fact that I paid much more than the lowest fare on the route, ANA released a class ""L"" e-ticket reducing my miles earning to minimum. This is a new practice in some airlines, to which we should pay attention (LH did the same to also on a Business class tkt with a ""P"" class) . My TP Victoria Star Alliance gold card was not recognized at first time at check in. Supervisor was called, card scrutinised and after 15 mn, accepted! Lounge at KIX has improved: there is french wine now. Flight delayed on departure and arrival. Plane was old, with toilets worn out. Food bad, and FA were not pleasant.  I am an ANA fan. They are a standard for our industry. However this flight on every aspect was out of pattern.",Boeing 737-700,Solo Leisure,Economy Class,KIX to PEK,2016-08-01,2.0,3.0,2.0,3.0,2.0,2,yes,KIX,PEK,ana all nippon airways
"""cabin staff was excellent""",8.0,S Tallimo,2016-08-30,"✅ Verified Review |  Venice to Tokyo Haneda via Munich. I was impressed that we were able to check-in 2 luggage (23 kg each) plus the hold luggage and I appreciated that the flight departed with admirable punctuality and boarding was quick. Despite the seat was rather small for a 10 hours flight, the plane was new and very clean. Cabin staff was excellent, as well as food and beverages, with a lot of choices. Inflight entertainment: the screen was very good, but movies were a bit old with a very poor choice, especially new movies. All in all I think ANA deserve 5 stars for a lot of things (staff, punctuallity, food, cleaning and services) but the inflight entertainment and seat comfort are not up to the other 5 stars airlines I've tried.

",Boeing 787-9,Couple Leisure,Economy Class,VCE to HND via MUC,2016-08-01,3.0,5.0,5.0,2.0,5.0,4,yes,VCE,HND ,ana all nippon airways
"""I loved the privacy""",10.0,R Blumm,2016-08-19,"What a pleasure ANA Business Class was flying from Narita to Bangkok. I loved the privacy. The middle seat in three across rows is something like your own cave where you are effectively isolated from anyone else around. Everything about the experience is generous: personal space, seat size, service. Even the bathrooms are pleasant. Dinner was beautifully presented and service was very personalized. There were ample entertainment selections. One of the hallmarks of this airline is their service, and it is easy to see why. Staff were attentive, non-intrusive, warm and even caring. It is a great package.",Boeing 787,Solo Leisure,Business Class,NRT to BKK,2016-08-01,5.0,5.0,5.0,5.0,4.0,5,yes,NRT,BKK,ana all nippon airways
"""flight was very good""",10.0,L Huang,2016-08-11,"✅ Verified Review |  This flight from Haneda to Kansai was very good. From boarding to leaving the plane, I felt welcome from the crew members and the ground staff. The airport facilities in Haneda are very convenient for me to use: I can check my baggage and get my paper boarding pass by using check-in machines. Drinks and the in-flight magazine were enough for a flight that was less than one hour. Next time I will choose ANA for my domestic trip in Japan.",Boeing 777-200,Family Leisure,Economy Class,HND to KIX,2016-08-01,5.0,5.0,5.0,5.0,5.0,5,yes,HND,KIX,ana all nippon airways
"""I highly recommend ANA""",8.0,Sam Merken,2016-08-04,"✅ Verified Review |  Houston to Tokyo Narita with ANA. I was highly impressed! Second time flying ANA and loved it as much if not more than the first time! I actually had the privilege to fly on one of the Star Wars themed jets and it was amazing. Flight Attendants are very accommodating. I booked thru code share United using mileage plus points and changed my flight last minute, less than 24 hours before. I was therefore unable to select my meal preference in which I am a vegetarian. FA's had no issue with that and went above and beyond to accommodate me, which I truly appreciate. Ive been on other airlines where I felt scolded that I didnt make my selection on time and honestly there are some of us who book flights less than 24 hours prior and even on the day of. Anyway, the flight was delayed maybe 20 minutes but they boarded in a timely fashion and got us up in the air in no time, we landed on time as well. We received two meals and a snack along with suffice beverages included free alcohol - at or a little above average airplane food. InFlight entertainment is kind of lacking some titles. I think there were very limited options especially when doing a round trip. I pretty much saw all the movies going leaving me watching movies over for a second time on the way back. Actually tried some foreign movies with subtitles on the way back but might not necessarily be everyones thing. We all received a Star Wars card thanking us and saying that we flew the star wars aircraft which I thought was cool! Overall, I highly recommend ANA and would place it in my top 10 thus far!",Boeing 777-300 ER,Solo Leisure,Economy Class,IAh to NRT,2016-07-01,4.0,5.0,5.0,3.0,5.0,5,yes,IAh,NRT,ana all nippon airways
"""Star Wars themed jet was amazing""",8.0,Simon Meeks,2016-07-30,"✅ Verified Review |  Houston to Tokyo Narita. Second time flying ANA and loved it as much if not more than the first time! I had the privilege to fly on one of the Star Wars themed jets and it was amazing! Flight Attendants are very well accommodating. I booked thru code share United using mileage plus points and changed my flight last minute, less than 24 hours before. I was therefore unable to select my meal preference in which I am a vegetarian. The FA's had no issue with that and went above and beyond to accommodate me. Anyway, the flight was delayed maybe 20 minutes but they boarded in a timely fashion and got us up in the air in no time. We received two meals and a snack along with beverages included free alcohol. The food was at or a little above average airplane food. Inflight entertainment is lacking some titles. I pretty much saw all the movies going leaving me watching movies over for a second time on the way back. Actually tried some foreign movies with subtitles on the way back but might not  be everyone's thing! We all also received a Star Wars card thanking us and saying that we flew the star wars aircraft which i thought was cool! Overall, I highly recommend ANA.",Boeing 777-300 ER,Solo Leisure,Economy Class,IAH to NRT,2016-07-01,4.0,5.0,5.0,3.0,5.0,5,yes,IAH,NRT,ana all nippon airways
"""offers exceptional service""",10.0,M Howard,2016-07-30,"ANA always offers exceptional service, especially in the staff category. We were very lucky that they changed our 1 hour domestic flight from Takamatsu to Tokyo Haneda to an international configuration plane. The seats were very comfortable, and they even had a video on-demand system on every seat. The flight was also my first on a 787, so it made a very good impression. However, usually it is a domestic configuration, so not to mislead anybody with  this review, but my experience was excellent.",Boeing 787-8,Family Leisure,Economy Class,TAK to HND,2016-07-01,5.0,5.0,3.0,5.0,5.0,4,yes,TAK,HND,ana all nippon airways
